type;time;latitude;longitude;altitude (m);sat;hdop;vdop;pdop;fix;name;desc;ageofdgpsdata;dgpsid;point_type
T;2017-09-26 16:08:57;47.404262830;15.887244739;743.8;3;3.1;1.00;3.22;3d;rss17_2017-09-26;Export from GpsPrune;0;0;TIME,DISTANCE
T;2017-09-26 16:09:00;47.404111521;15.887394737;768.4;7;1.1;0.84;1.40;3d;;;0;0;DISTANCE
T;2017-09-26 16:09:01;47.404036989;15.887463342;780.7;7;1.1;0.84;1.40;3d;;;0;0;SPEED
T;2017-09-26 16:09:02;47.403982576;15.887475046;789.4;8;1.1;0.82;1.35;3d;;;0;0;SPEED
T;2017-09-26 16:09:03;47.404210309;15.887346539;747.8;7;1.6;0.91;1.80;3d;;;0;0;SPEED,DISTANCE
T;2017-09-26 16:09:04;47.404200197;15.887361075;749.7;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:05;47.404213278;15.887366130;748.5;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:07;47.404241165;15.887337082;737.7;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:08;47.404269002;15.887360142;731.2;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:09;47.404281805;15.887370818;727.7;7;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:19;47.404313319;15.887377206;724.8;6;2.3;2.63;3.49;3d;;;0;0;TIME
T;2017-09-26 16:09:29;47.404309406;15.887369430;722.8;6;1.7;0.93;1.96;3d;;;0;0;TIME
T;2017-09-26 16:09:39;47.404406452;15.887340637;720.0;7;1.8;0.95;2.07;3d;;;0;0;TIME,SPEED
T;2017-09-26 16:09:41;47.404454262;15.887317344;715.3;7;1.7;0.93;1.96;3d;;;0;0;SPEED
T;2017-09-26 16:09:42;47.404424135;15.887317914;715.7;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:43;47.404410225;15.887315949;715.6;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:09:53;47.404410563;15.887307704;713.6;7;5.0;0.95;5.12;3d;;;0;0;TIME
T;2017-09-26 16:10:02;47.404329305;15.887348016;712.8;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:04;47.404340044;15.887359689;712.9;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:05;47.404328212;15.887352186;713.0;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:06;47.404317467;15.887346018;713.1;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:07;47.404307071;15.887338599;713.1;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:08;47.404296041;15.887332269;713.1;8;1.6;0.91;1.80;3d;;;0;0;SPEED
T;2017-09-26 16:10:18;47.404272853;15.887330722;713.8;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:10:28;47.404249062;15.887327065;714.6;7;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:10:38;47.404239087;15.887328291;714.6;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:10:48;47.404240681;15.887314829;714.4;8;1.9;2.17;2.87;3d;;;0;0;TIME
T;2017-09-26 16:10:58;47.404244972;15.887315189;714.4;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:11:08;47.404254469;15.887315652;714.4;8;1.9;2.17;2.87;3d;;;0;0;TIME
T;2017-09-26 16:11:18;47.404256058;15.887315610;714.3;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:11:28;47.404257475;15.887314048;714.3;8;1.6;0.91;1.80;3d;;;0;0;TIME
T;2017-09-26 16:11:38;47.404256794;15.887317693;714.2;8;1.1;0.82;1.34;3d;;;0;0;TIME
T;2017-09-26 16:11:42;47.404260415;15.887329623;714.2;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:43;47.404265956;15.887332176;714.2;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:44;47.404271368;15.887331600;714.3;8;1.1;1.42;1.77;3d;;;0;0;SPEED
T;2017-09-26 16:11:46;47.404277776;15.887329483;715.1;8;1.1;1.42;1.78;3d;;;0;0;SPEED
T;2017-09-26 16:11:47;47.404284219;15.887332638;715.2;8;1.1;1.42;1.78;3d;;;0;0;SPEED
T;2017-09-26 16:11:48;47.404293982;15.887335205;715.4;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:49;47.404300745;15.887339823;715.5;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:50;47.404305693;15.887340462;715.4;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:51;47.404312773;15.887344462;715.1;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:52;47.404323397;15.887350329;714.8;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:53;47.404335222;15.887353587;714.6;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:55;47.404350279;15.887350807;715.1;8;1.1;1.42;1.77;3d;;;0;0;SPEED
T;2017-09-26 16:11:56;47.404359514;15.887350152;715.1;7;1.2;1.45;1.86;3d;;;0;0;SPEED
T;2017-09-26 16:11:57;47.404373223;15.887346960;715.1;7;1.2;0.82;1.43;3d;;;0;0;SPEED
T;2017-09-26 16:11:58;47.404386880;15.887346290;715.0;8;1.1;0.82;1.34;3d;;;0;0;SPEED
T;2017-09-26 16:11:59;47.404399109;15.887348107;714.9;7;1.2;0.82;1.43;3d;;;0;0;SPEED
T;2017-09-26 16:12:00;47.404411467;15.887347918;715.0;7;1.1;1.54;1.90;3d;;;0;0;SPEED
T;2017-09-26 16:12:01;47.404422738;15.887346413;715.0;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:02;47.404433130;15.887347146;715.1;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:03;47.404443104;15.887349203;715.2;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:04;47.404453517;15.887349250;715.2;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:05;47.404461374;15.887349543;715.2;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:06;47.404471374;15.887353838;715.1;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:07;47.404479608;15.887356489;715.1;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:08;47.404492301;15.887350969;714.8;7;1.1;1.53;1.90;3d;;;0;0;SPEED
T;2017-09-26 16:12:09;47.404502829;15.887350437;714.8;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:10;47.404511287;15.887351348;714.7;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:11;47.404516724;15.887355547;714.6;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:12;47.404524315;15.887358320;714.4;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:13;47.404529581;15.887360280;714.3;7;1.1;0.84;1.39;3d;;;0;0;SPEED
T;2017-09-26 16:12:14;47.404543361;15.887346622;714.3;7;1.1;1.53;1.89;3d;;;0;0;SPEED
T;2017-09-26 16:12:15;47.404552864;15.887341435;714.2;7;1.1;0.84;1.39;3d;;;0;0;SPEED
